,model,scenario,region,variable,unit,year,value
0,West Bengal energy model,baseline,India,Resource|Extraction,GWa,2015,23.857397079467773
1,West Bengal energy model,baseline,India,Resource|Extraction,GWa,2020,21.33412742614746
2,West Bengal energy model,baseline,India,Resource|Extraction,GWa,2025,27.372772216796875
3,West Bengal energy model,baseline,India,Resource|Extraction,GWa,2030,37.36035919189453
4,West Bengal energy model,baseline,India,Resource|Extraction,GWa,2035,47.15156173706055
5,West Bengal energy model,baseline,India,Resource|Extraction,GWa,2040,65.3153305053711
6,West Bengal energy model,baseline,India,Resource|Extraction|Coal,GWa,2015,23.857397079467773
7,West Bengal energy model,baseline,India,Resource|Extraction|Coal,GWa,2020,21.33412742614746
8,West Bengal energy model,baseline,India,Resource|Extraction|Coal,GWa,2025,27.372772216796875
9,West Bengal energy model,baseline,India,Resource|Extraction|Coal,GWa,2030,37.36035919189453
10,West Bengal energy model,baseline,India,Resource|Extraction|Coal,GWa,2035,47.15156173706055
11,West Bengal energy model,baseline,India,Resource|Extraction|Coal,GWa,2040,65.3153305053711
12,West Bengal energy model,baseline,India,Resource|Extraction|Gas,GWa,2015,0.0
13,West Bengal energy model,baseline,India,Resource|Extraction|Gas,GWa,2020,0.0
14,West Bengal energy model,baseline,India,Resource|Extraction|Gas,GWa,2025,0.0
15,West Bengal energy model,baseline,India,Resource|Extraction|Gas,GWa,2030,0.0
16,West Bengal energy model,baseline,India,Resource|Extraction|Gas,GWa,2035,0.0
17,West Bengal energy model,baseline,India,Resource|Extraction|Gas,GWa,2040,0.0
18,West Bengal energy model,baseline,India,Resource|Extraction|Gas|Conventional,GWa,2015,0.0
19,West Bengal energy model,baseline,India,Resource|Extraction|Gas|Conventional,GWa,2020,0.0
20,West Bengal energy model,baseline,India,Resource|Extraction|Gas|Conventional,GWa,2025,0.0
21,West Bengal energy model,baseline,India,Resource|Extraction|Gas|Conventional,GWa,2030,0.0
22,West Bengal energy model,baseline,India,Resource|Extraction|Gas|Conventional,GWa,2035,0.0
23,West Bengal energy model,baseline,India,Resource|Extraction|Gas|Conventional,GWa,2040,0.0
24,West Bengal energy model,baseline,India,Resource|Extraction|Gas|Unconventional,GWa,2015,0.0
25,West Bengal energy model,baseline,India,Resource|Extraction|Gas|Unconventional,GWa,2020,0.0
26,West Bengal energy model,baseline,India,Resource|Extraction|Gas|Unconventional,GWa,2025,0.0
27,West Bengal energy model,baseline,India,Resource|Extraction|Gas|Unconventional,GWa,2030,0.0
28,West Bengal energy model,baseline,India,Resource|Extraction|Gas|Unconventional,GWa,2035,0.0
29,West Bengal energy model,baseline,India,Resource|Extraction|Gas|Unconventional,GWa,2040,0.0
30,West Bengal energy model,baseline,India,Resource|Extraction|Oil,GWa,2015,0.0
31,West Bengal energy model,baseline,India,Resource|Extraction|Oil,GWa,2020,0.0
32,West Bengal energy model,baseline,India,Resource|Extraction|Oil,GWa,2025,0.0
33,West Bengal energy model,baseline,India,Resource|Extraction|Oil,GWa,2030,0.0
34,West Bengal energy model,baseline,India,Resource|Extraction|Oil,GWa,2035,0.0
35,West Bengal energy model,baseline,India,Resource|Extraction|Oil,GWa,2040,0.0
36,West Bengal energy model,baseline,India,Resource|Extraction|Oil|Conventional,GWa,2015,0.0
37,West Bengal energy model,baseline,India,Resource|Extraction|Oil|Conventional,GWa,2020,0.0
38,West Bengal energy model,baseline,India,Resource|Extraction|Oil|Conventional,GWa,2025,0.0
39,West Bengal energy model,baseline,India,Resource|Extraction|Oil|Conventional,GWa,2030,0.0
40,West Bengal energy model,baseline,India,Resource|Extraction|Oil|Conventional,GWa,2035,0.0
41,West Bengal energy model,baseline,India,Resource|Extraction|Oil|Conventional,GWa,2040,0.0
42,West Bengal energy model,baseline,India,Resource|Extraction|Oil|Unconventional,GWa,2015,0.0
43,West Bengal energy model,baseline,India,Resource|Extraction|Oil|Unconventional,GWa,2020,0.0
44,West Bengal energy model,baseline,India,Resource|Extraction|Oil|Unconventional,GWa,2025,0.0
45,West Bengal energy model,baseline,India,Resource|Extraction|Oil|Unconventional,GWa,2030,0.0
46,West Bengal energy model,baseline,India,Resource|Extraction|Oil|Unconventional,GWa,2035,0.0
47,West Bengal energy model,baseline,India,Resource|Extraction|Oil|Unconventional,GWa,2040,0.0
48,West Bengal energy model,baseline,India,Resource|Extraction|Uranium,GWa,2015,0.0
49,West Bengal energy model,baseline,India,Resource|Extraction|Uranium,GWa,2020,0.0
50,West Bengal energy model,baseline,India,Resource|Extraction|Uranium,GWa,2025,0.0
51,West Bengal energy model,baseline,India,Resource|Extraction|Uranium,GWa,2030,0.0
52,West Bengal energy model,baseline,India,Resource|Extraction|Uranium,GWa,2035,0.0
53,West Bengal energy model,baseline,India,Resource|Extraction|Uranium,GWa,2040,0.0
54,West Bengal energy model,baseline,India,Resource|Cumulative Extraction,TWa,2015,0.11928699165582657
55,West Bengal energy model,baseline,India,Resource|Cumulative Extraction,TWa,2020,0.22595761716365814
56,West Bengal energy model,baseline,India,Resource|Cumulative Extraction,TWa,2025,0.362821489572525
57,West Bengal energy model,baseline,India,Resource|Cumulative Extraction,TWa,2030,0.5496232509613037
58,West Bengal energy model,baseline,India,Resource|Cumulative Extraction,TWa,2035,0.7853810787200928
59,West Bengal energy model,baseline,India,Resource|Cumulative Extraction,TWa,2040,1.4385343790054321
60,West Bengal energy model,baseline,India,Resource|Cumulative Extraction|Coal,TWa,2015,0.11928699165582657
61,West Bengal energy model,baseline,India,Resource|Cumulative Extraction|Coal,TWa,2020,0.22595761716365814
62,West Bengal energy model,baseline,India,Resource|Cumulative Extraction|Coal,TWa,2025,0.362821489572525
63,West Bengal energy model,baseline,India,Resource|Cumulative Extraction|Coal,TWa,2030,0.5496232509613037
64,West Bengal energy model,baseline,India,Resource|Cumulative Extraction|Coal,TWa,2035,0.7853810787200928
65,West Bengal energy model,baseline,India,Resource|Cumulative Extraction|Coal,TWa,2040,1.4385343790054321
66,West Bengal energy model,baseline,India,Resource|Cumulative Extraction|Gas,TWa,2015,0.0
67,West Bengal energy model,baseline,India,Resource|Cumulative Extraction|Gas,TWa,2020,0.0
68,West Bengal energy model,baseline,India,Resource|Cumulative Extraction|Gas,TWa,2025,0.0
69,West Bengal energy model,baseline,India,Resource|Cumulative Extraction|Gas,TWa,2030,0.0
70,West Bengal energy model,baseline,India,Resource|Cumulative Extraction|Gas,TWa,2035,0.0
71,West Bengal energy model,baseline,India,Resource|Cumulative Extraction|Gas,TWa,2040,0.0
72,West Bengal energy model,baseline,India,Resource|Cumulative Extraction|Gas|Conventional,TWa,2015,0.0
73,West Bengal energy model,baseline,India,Resource|Cumulative Extraction|Gas|Conventional,TWa,2020,0.0
74,West Bengal energy model,baseline,India,Resource|Cumulative Extraction|Gas|Conventional,TWa,2025,0.0
75,West Bengal energy model,baseline,India,Resource|Cumulative Extraction|Gas|Conventional,TWa,2030,0.0
76,West Bengal energy model,baseline,India,Resource|Cumulative Extraction|Gas|Conventional,TWa,2035,0.0
77,West Bengal energy model,baseline,India,Resource|Cumulative Extraction|Gas|Conventional,TWa,2040,0.0
78,West Bengal energy model,baseline,India,Resource|Cumulative Extraction|Gas|Unconventional,TWa,2015,0.0
79,West Bengal energy model,baseline,India,Resource|Cumulative Extraction|Gas|Unconventional,TWa,2020,0.0
80,West Bengal energy model,baseline,India,Resource|Cumulative Extraction|Gas|Unconventional,TWa,2025,0.0
81,West Bengal energy model,baseline,India,Resource|Cumulative Extraction|Gas|Unconventional,TWa,2030,0.0
82,West Bengal energy model,baseline,India,Resource|Cumulative Extraction|Gas|Unconventional,TWa,2035,0.0
83,West Bengal energy model,baseline,India,Resource|Cumulative Extraction|Gas|Unconventional,TWa,2040,0.0
84,West Bengal energy model,baseline,India,Resource|Cumulative Extraction|Oil,TWa,2015,0.0
85,West Bengal energy model,baseline,India,Resource|Cumulative Extraction|Oil,TWa,2020,0.0
86,West Bengal energy model,baseline,India,Resource|Cumulative Extraction|Oil,TWa,2025,0.0
87,West Bengal energy model,baseline,India,Resource|Cumulative Extraction|Oil,TWa,2030,0.0
88,West Bengal energy model,baseline,India,Resource|Cumulative Extraction|Oil,TWa,2035,0.0
89,West Bengal energy model,baseline,India,Resource|Cumulative Extraction|Oil,TWa,2040,0.0
90,West Bengal energy model,baseline,India,Resource|Cumulative Extraction|Oil|Conventional,TWa,2015,0.0
